Trade,Entry,Exit,Trade DD,RT
T26,2010-09-07,2011-06-15,-23.7%,+62.7%
T27,2011-06-27,2011-08-04,-22.2%,-1.9%
T28,2011-09-15,2011-09-22,-17.7%,-11.2%
T29,2011-10-14,2011-11-17,-16.8%,-13.1%
T30,2011-12-07,2011-12-14,-12.3%,-10.7%
T31,2012-01-06,2012-11-07,-33.4%,+32.5%
T32,2012-11-27,2012-11-28,-1.1%,-1.5%
T33,2012-11-29,2012-12-05,-6.2%,-4.3%
T34,2012-12-11,2012-12-13,-4.6%,-3.9%
T35,2012-12-18,2012-12-21,-5.8%,-4.4%
T36,2013-01-08,2015-08-21,-26.7%,+282.8%
Comp,,,-85.5%,+383.8%
