Trade,Entry,Exit,Trade DD,RT
T42,2016-07-07,2018-10-23,-31.2%,+281.0%
T43,2018-11-02,2018-11-02,-2.4%,-1.4%
T44,2018-11-07,2018-11-09,-8.3%,-7.0%
T45,2019-02-14,2019-03-08,-8.0%,-1.8%
T46,2019-03-19,2019-06-03,-29.6%,-14.7%
T47,2019-06-07,2020-03-09,-45.5%,+25.8%
Comp,,,-78.3%,+268.7%
