Trade,Entry,Exit,Trade DD,RT
T17,2007-08-23,2008-01-07,-37.0%,+1.3%
T18,2008-05-01,2008-05-23,-14.2%,-1.5%
T19,2008-08-11,2008-08-21,-11.7%,-5.2%
T20,2008-08-22,2008-08-25,-6.5%,-5.3%
T21,2009-05-07,2009-05-13,-13.2%,-9.7%
T22,2009-06-02,2010-05-25,-37.1%,+58.2%
Comp,,,-75.6%,+27.9%
