Trade,Entry,Exit,Trade DD,RT
T22,2009-06-02,2010-05-25,-37.1%,+58.2%
T23,2010-06-03,2010-06-08,-17.3%,-13.3%
T24,2010-06-11,2010-06-29,-21.8%,-9.3%
T25,2010-07-22,2010-08-11,-12.1%,-3.3%
T26,2010-09-07,2011-06-15,-23.7%,+62.7%
Comp,,,-72.7%,+95.8%
