Trade,Entry,Exit,Trade DD,RT
T47,2019-06-07,2020-03-09,-45.5%,+25.8%
T48,2020-04-07,2020-04-08,-1.0%,-0.4%
T49,2020-04-08,2022-01-21,-36.9%,+362.7%
Comp,,,-66.0%,+479.5%
