Trade,Entry,Exit,Trade DD,RT
T1,2002-01-10,2002-01-14,-10.9%,-10.1%
T2,2002-11-27,2002-12-02,-4.2%,-1.0%
T3,2002-12-02,2002-12-03,-1.6%,-8.5%
T4,2003-01-07,2003-01-08,-3.7%,-8.3%
T5,2003-01-09,2003-01-17,-18.7%,-14.6%
T6,2003-03-18,2004-05-06,-32.4%,+93.5%
Comp,,,-55.6%,+23.4%
