Top8,Trade,Entry,Exit,Days,Peak from entry,DD1,QQQ dist 200MA @ DD1 start,DD2,QQQ dist 200MA @ DD2 start,DD3,QQQ dist 200MA @ DD3 start,Final return
Top8 #5,T6,03-03-18,04-05-06,415,169.6287259146263,-32.41674937707275,19.682874006371677,-23.87259488844924,24.580461290293588,-20.960797031510502,10.443985963548963,93.53910037609084
Top8 #8,T22,09-06-02,10-05-25,357,150.08125944129492,-37.06568536838236,16.341739486146945,-26.661851101631495,19.155182668585557,-20.8888511817499,14.181930246145358,58.19267468279692
Top8 #7,T26,10-09-07,11-06-15,281,113.50810197580643,-23.73406899783571,12.763154096683893,-23.401727810806115,18.968161433333442,-13.24713792050185,15.170748094124708,62.736435917642396
Top8 #3,T36,13-01-08,15-08-21,955,388.752609383587,-26.680120366801873,10.974001076472128,-25.089148147216246,9.071903131792691,-24.29281826024584,14.244620133251761,282.8373350702095
Top8 #4,T42,16-07-07,18-10-23,838,384.6749301010078,-31.22751554150085,15.586017615254622,-30.46255951868231,16.87821089558732,-26.94273585072876,10.246707118529086,281.01579999227414
Top8 #1,T49,20-04-08,22-01-21,652,587.7415292030156,-36.92283051682001,33.107540439500795,-34.14475675422405,16.04691647197205,-30.80249685843477,21.71148401805969,362.72519384298744
Top8 #2,T52,23-01-27,25-03-06,769,434.0585250546755,-37.507925862142066,20.12905550922064,-32.12129877294168,26.75633889099487,-27.65192082667881,14.57113186982899,328.1792415065743
