candidate,annualized_return,sharpe_ratio,max_drawdown,number_of_trades,exposure_percentage,average_cash_weight,dd_episodes_gt_20_30_40_50pct
New candidate: hourly 200MA gate,0.246772831674382,0.7338219155071053,-0.5636324477761058,109,0.6897123476950132,0.3102876523049868,26/17/9/6
Preferred: QQQ entry + QQQ exit,0.2336639725270559,0.7214855255879447,-0.5818819094198948,101,0.6492400452204496,0.3507599547795503,21/14/7/5
Delta: New - Preferred,0.013108859147326096,0.01233638991916064,0.018249461643789044,8,0.04047230247456357,-0.040472302474563515,+5/+3/+2/+1
