name,strategy,segment,parameters,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,average_daily_turnover,number_of_trades,exposure_percentage,observations
sma_trend,sma_trend,full_sample,"{""window"": 200}",2.7939878077077074,0.08549536232316912,0.1389583991223024,0.6601721880861562,-0.18837823377117346,0.4538494740693977,0.5,0.03180803571428571,1381,0.632045200892857,4096
Buy & Hold SPY,benchmark,full_sample,{},8.277356372197447,0.14688339454445543,0.1711963558258512,0.88657181324299,-0.33717264821380655,0.4356325915597825,0.5537109375,0.000244140625,1,1.0,4096
Equal-Weight Buy & Hold,benchmark,full_sample,{},12.533780634456859,0.173839702069988,0.26398175599291107,0.74017004286032,-0.4883967736352638,0.3559394972576375,0.54638671875,0.00024414062499999995,1,0.9999999999999999,4096
