date,gross_return,cost,net_return,turnover,equity
2011-12-12,-0.007366770607228457,0.0,-0.007366770607228457,0.0,1.4608785907061643
2011-12-13,-0.005576731295156553,0.0,-0.005576731295156553,0.0,1.452731663350949
2011-12-14,-0.0045746523427875885,0.0,-0.0045746523427875885,0.0,1.4460859210437589
2011-12-15,0.0012793758071102945,0.0,0.0012793758071102945,0.0,1.4479360083861452
2011-12-16,0.006051965353977423,0.0,0.006051965353977423,0.0,1.4566988669436747
2011-12-19,-0.0010194736112418973,2.5e-05,-0.0010444736112418973,0.125,1.455177383417626
2011-12-20,0.0060803896491769815,0.0,0.0060803896491769815,0.0,1.464025428917475
2011-12-21,-0.003426513956721014,0.0,-0.003426513956721014,0.0,1.4590089253522949
2011-12-22,0.003603558194775841,2.5e-05,0.003578558194775841,0.125,1.4642300736983653
2011-12-23,0.001566765912713139,0.0,0.001566765912713139,0.0,1.4665241794662054
2011-12-27,0.0005981233372870237,0.0,0.0005981233372870237,0.0,1.4674013418026397
2011-12-28,-0.0054022122062423045,0.0,-0.0054022122062423045,0.0,1.4594741283624972
2011-12-29,0.002952260148912006,0.0,0.002952260148912006,0.0,1.46378287567003
2011-12-30,0.00026706364251613546,0.0,0.00026706364251613546,0.0,1.4641737988566592
2012-01-03,0.006799519757399897,0.0,0.006799519757399897,0.0,1.4741294775302523
2012-01-04,-0.0022667239430838593,0.0,-0.0022667239430838593,0.0,1.4707880329483287
2012-01-05,0.0031662620005843134,0.0,0.0031662620005843134,0.0,1.475444933207967
2012-01-06,0.00022978141691583354,0.0,0.00022978141691583354,0.0,1.475783963035301
2012-01-09,-0.0013172339631361552,0.0,-0.0013172339631361552,0.0,1.4738400102769391
2012-01-10,0.004881130781987111,0.0,0.004881130781987111,0.0,1.4810340161188262
2012-01-11,0.003644036107024934,0.0,0.003644036107024934,0.0,1.4864309575492953
2012-01-12,0.0002570605894683664,0.0,0.0002570605894683664,0.0,1.4868130603674468
2012-01-13,-0.000447435196578444,0.0,-0.000447435196578444,0.0,1.486147807873506
2012-01-17,0.004203675960580688,0.0,0.004203675960580688,0.0,1.4923950916873336
2012-01-18,0.0032568797515632464,0.0,0.0032568797515632464,0.0,1.4972556430427826
2012-01-19,-9.12027197750992e-05,0.0,-9.12027197750992e-05,0.0,1.4971190892559385
2012-01-20,0.00029852844155955904,0.0,0.00029852844155955904,0.0,1.497566021884483
2012-01-23,0.0002154643090870323,2.5e-05,0.00019046430908703228,0.125,1.4978512547621536
2012-01-24,0.0006477138658969456,0.0,0.0006477138658969456,0.0,1.498821433788914
2012-01-25,0.008392410571749873,0.0,0.008392410571749873,0.0,1.5114001586350094
2012-01-26,0.001953278019524149,0.0,0.001953278019524149,0.0,1.5143523433435766
2012-01-27,0.002872978111931726,0.0,0.002872978111931726,0.0,1.5187030444797551
2012-01-30,-0.0014488833391694544,0.0,-0.0014488833391694544,0.0,1.5165026209414625
2012-01-31,0.002998289290669434,0.0,0.002998289290669434,0.0,1.5210495345091035
2012-02-01,0.0047843278859358435,0.0,0.0047843278859358435,0.0,1.5283267342129452
2012-02-02,0.0026266405964094908,0.0,0.0026266405964094908,0.0,1.5323410992576068
2012-02-03,0.002756409187867709,0.0,0.002756409187867709,0.0,1.5365648583425477
2012-02-06,-8.524794773989708e-05,0.0,-8.524794773989708e-05,0.0,1.5364338693418047
2012-02-07,0.0005198695432987593,0.0,0.0005198695432987593,0.0,1.5372326145157684
2012-02-08,0.0007384512640205704,0.0,0.0007384512640205704,0.0,1.5383677858830511
2012-02-09,-0.0017635097967439173,0.0,-0.0017635097967439173,0.0,1.5356548592216512
2012-02-10,-0.003701096501670817,0.0,-0.003701096501670817,0.0,1.5299712523944122
2012-02-13,0.005412448373560558,0.0,0.005412448373560558,0.0,1.5382521428110287
2012-02-14,-0.0013078244949566858,0.0,-0.0013078244949566858,0.0,1.536240378979241
2012-02-15,-0.0027179724247888143,0.0,-0.0027179724247888143,0.0,1.5320649199913283
2012-02-16,0.00568659294815381,0.0,0.00568659294815381,0.0,1.5407771495614648
2012-02-17,-0.0004926409044831992,0.0,-0.0004926409044831992,0.0,1.5400180997128978
2012-02-21,-0.0010225326586303929,0.0,-0.0010225326586303929,0.0,1.5384433809110594
2012-02-22,-4.432530380914235e-05,0.0,-4.432530380914235e-05,0.0,1.5383751889408073
2012-02-23,0.004868537935743766,0.0,0.004868537935743766,0.0,1.5458648269075728
2012-02-24,0.0008696598806390149,0.0,0.0008696598806390149,0.0,1.5472092035284253
2012-02-27,0.0006931955579829313,0.0,0.0006931955579829313,0.0,1.5482817220755816
2012-02-28,0.003203878252626413,2.5e-05,0.0031788782526264133,0.125,1.5532035211708264
2012-02-29,-0.010820201573211702,2.5e-05,-0.010845201573211703,0.125,1.5363587158995067
2012-03-01,0.0036318837936263754,0.0,0.0036318837936263754,0.0,1.5419385922209787
2012-03-02,-0.0015612344890797852,0.0,-0.0015612344890797852,0.0,1.5395312645107602
2012-03-05,-0.0019066319453500818,0.0,-0.0019066319453500818,0.0,1.5365959450209787
