label,source_name,target_return_series,evaluation_basis,annualized_return,zero_cash_annualized_return,sharpe_ratio,max_drawdown,number_of_trades,trades_per_year_approx,exposure_percentage,average_cash_weight,dd_episodes_gt_20_30_40_50pct
"Current preferred: QQQ hourly 200MA gate, no daily gate, no lock",new_candidate_no_daily_gate__qqq_hourly_200ma_entry_exit,actual TQQQ 60min available history,"after-tax approximation, 1bp cost, 5bps slippage, 3% cash yield",0.3206995589821622,0.3138198690751796,0.8526776839622753,-0.5333872416462742,61,3.742331288343558,0.7884740523832764,0.2115259476167236,18/13/5/4
Candidate A: QQQ entry + TQQQ/synthetic exit + 200/300 profit lock,qqq_entry__tqqq_exit__new_lock_200_300,actual TQQQ 60min available history,"after-tax approximation, 1bp cost, 5bps slippage, 3% cash yield",0.2328050436638902,0.2248558257843183,0.7159089566941143,-0.4882724922577851,157,9.631901840490798,0.7310273304050756,0.2682168997928535,16/10/5/0
Candidate B: TQQQ/synthetic entry + TQQQ/synthetic exit + 200/300 profit lock,tqqq_entry__tqqq_exit__new_lock_200_300,actual TQQQ 60min available history,"after-tax approximation, 1bp cost, 5bps slippage, 3% cash yield",0.2309785802028856,0.2230930082735835,0.7122109638897813,-0.4949520013432212,161,9.877300613496931,0.7326948104766553,0.2666070939770648,16/10/5/0
