fold,train_start,train_end,test_start,test_end,selected_name,selected_family,train_objective,train_annualized_return,train_max_drawdown,test_final_return,test_annualized_return,test_sharpe_ratio,test_max_drawdown,test_trades_per_year,preferred_test_annualized_return,preferred_test_max_drawdown,qqq_bh_test_annualized_return,qqq_bh_test_max_drawdown
2007_2010,2002-01-10 15:00:00,2006-12-31 23:59:59,2007-01-01,2010-12-31 15:00:00,macd_fast_10d,macd_entry,0.02749177707669287,0.11864409372991558,-0.47577263679083404,0.8279591289923198,0.16276411528186818,0.5649138628367826,-0.522913457613377,4.0,0.18743420107005893,-0.5214743527254793,0.06513989436254408,-0.5403530788765378
2011_2014,2002-01-10 15:00:00,2010-12-31 23:59:59,2011-01-01,2014-12-31 15:00:00,long_ma_250d,trend_gate_long_ma,0.15132896688368463,0.20269607819207924,-0.5107964209437296,1.2253000917045043,0.22193652901375804,0.6865452655675031,-0.5879190006047864,5.262180974477958,0.28020711915312524,-0.4650247220963182,0.1879024588755367,-0.1624835503449903
2015_2018,2002-01-10 15:00:00,2014-12-31 23:59:59,2015-01-01,2018-12-31 15:00:00,macd_signal_12d,macd_entry,0.1286155470416343,0.18892834196414388,-0.5124656804667369,1.7103961120664817,0.28372918987163187,0.8849801768034307,-0.3484194459611958,5.260437375745527,0.26325989386862503,-0.37699785190152124,0.11665923297125347,-0.23583396952880664
2019_2022,2002-01-10 15:00:00,2018-12-31 23:59:59,2019-01-01,2022-12-30 15:00:00,macd_signal_12d,macd_entry,0.16889993236084355,0.21062471771201197,-0.5124656804667369,2.8748076166168737,0.4030157171137638,0.9861087028174885,-0.45541995720094075,6.0,0.46369891115311757,-0.3946167679357778,0.15417914829649826,-0.36099182754269
2023_2026,2002-01-10 15:00:00,2022-12-31 23:59:59,2023-01-01,2026-06-01 15:00:00,macd_signal_8d,macd_entry,0.23460017238574415,0.25369355879415867,-0.5214743527254805,7.397054308998262,0.8722949352827682,1.6046958480433924,-0.28926220617910325,2.6526315789473687,0.8745737270465574,-0.2892622061791036,0.26686857353350457,-0.2297881708486076
