label,data_target,evaluation_basis,cumulative_return,annualized_return,zero_cash_annualized_return,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,number_of_trades,exposure_percentage,average_cash_weight,dd_episodes_gt_20_30_40_50pct
Current preferred: no daily gate + QQQ hourly 200MA gate,actual TQQQ hourly returns,"after-tax, 1bp cost + 5bp slippage, 3% cash yield",91.15176898522552,0.3206995589821622,0.3138198690751796,0.8526776839622753,-0.5333872416462742,0.601250899800937,0.633601756954612,61,0.7884740523832764,0.2115259476167236,18/13/5/4
Previous preferred: daily QQQ regime gate + QQQ exit,actual TQQQ hourly returns,"after-tax, 1bp cost + 5bp slippage, 3% cash yield",60.55066860068614,0.288326758454771,0.2817439046167733,0.7926712342401027,-0.5569264816514161,0.5177106278010257,0.6299007646006182,75,0.7947779404587604,0.2052220595412396,17/12/5/2
"Buy & hold actual TQQQ, pretax",actual TQQQ or QQQ hourly returns,pretax_no_cost_no_cash,438.4790602655773,0.453862334371673,,0.9320829228522196,-0.8208122978394561,0.552942902495894,0.5339189848706686,0,,,
"Buy & hold actual TQQQ, after-tax liquidated",actual TQQQ or QQQ hourly returns,aftertax_liquidated_with_entry_cost,333.0435393503544,0.4295431239718152,,0.9022929414556784,-0.8208122978394572,0.5233146787669472,0.5339189848706686,1,1.0,,
"Buy & hold QQQ, pretax",actual TQQQ or QQQ hourly returns,pretax_no_cost_no_cash,18.91499745260471,0.2019627978152407,,1.0384570524326016,-0.3609918275426909,0.5594663989764606,0.5336749633967789,0,,,
"Buy & hold QQQ, after-tax liquidated",actual TQQQ or QQQ hourly returns,aftertax_liquidated_with_entry_cost,14.366172825141286,0.1829488695930137,,0.9282525192095736,-0.3609918275426907,0.5067950453016232,0.5336749633967789,1,1.0,,
