name,final_return,annualized_return,sharpe_ratio,max_drawdown,number_of_trades,exposure_percentage,average_cash_weight,dd_episodes_gt_20_30_40_50pct,profit_lock_first_threshold_hit_count,profit_lock_second_threshold_hit_count,stop_drawdown_threshold,stop_trigger_count
profit_lock_300_400_stop_40pct,431.0709391746915,0.259162715887977,0.7758795933293624,-0.5636324477761058,115,0.6537220282793782,0.3462570311094962,24/13/7/3,4.0,2.0,0.4,1
profit_lock_300_400_stop_45pct,431.0709391746915,0.259162715887977,0.7758795933293624,-0.5636324477761058,115,0.6537220282793782,0.3462570311094962,24/13/7/3,4.0,2.0,0.45,1
profit_lock_300_400_no_stop,388.56142934883593,0.25422031590062466,0.765899716020578,-0.5636324477761058,115,0.6538224878820604,0.34615657150681384,24/13/7/4,4.0,2.0,,0
profit_lock_300_400_stop_50pct,388.56142934883593,0.25422031590062466,0.765899716020578,-0.5636324477761058,115,0.6538224878820604,0.34615657150681384,24/13/7/4,4.0,2.0,0.5,0
base_no_lock_no_stop,340.147523449938,0.2479157431226029,0.7359622357202567,-0.5636324477761058,109,0.6898058618178166,0.3101941381821835,26/17/9/6,,,,0
profit_lock_300_400_stop_35pct,167.1870877976792,0.2148471767442912,0.7017384090851687,-0.5636324477761058,112,0.6017592987919733,0.3984051300176697,21/13/8/3,3.0,0.0,0.35,4
profit_lock_300_400_stop_30pct,86.45200455061014,0.18504881558069597,0.6587449375930821,-0.5361529892273703,110,0.5232940703719516,0.47664651499029,17/11/7/4,1.0,0.0,0.3,9
QQQ_BH,8.59038546714855,0.08964235806265841,0.46568570679675303,-0.8355091049618228,0,1.0,0.0,5/2/1/1,,,,0
