name,annualized_return,zero_cash_annualized_return,annualized_return_delta_vs_zero_cash,sharpe_ratio,zero_cash_sharpe_ratio,max_drawdown,zero_cash_max_drawdown,number_of_trades,exposure_percentage,average_cash_weight,dd_episodes_gt_20_30_40_50pct,gross_cash_interest_pct_initial_capital,tax_paid_pct_initial_capital_with_cash
new_candidate_no_daily_gate__qqq_hourly_200ma_entry_exit,0.24677283167438202,0.2376059190404869,0.00916691263389513,0.7338219155071053,0.7164248909093714,-0.5636324477761058,-0.5768618073924529,109,0.6897123476950132,0.3102876523049868,26/17/9/6,3.1832518225265973,101.087338061285
qqq_entry__tqqq_exit__new_lock_200_300,0.23571169843489415,0.22389058018972907,0.011821118245165074,0.7532640228832279,0.7276491718226895,-0.4883071820599665,-0.4958703499404742,184,0.5975003140309006,0.4015467477134523,22/10/4/0,5.119854455486097,79.58067704233825
tqqq_entry__tqqq_exit__new_lock_200_300,0.23495150828882938,0.2232443515271172,0.01170715676171219,0.7507105361628484,0.7253905097642753,-0.4883071820599665,-0.4958703499404742,188,0.6001570154503203,0.39867456553345937,20/9/3/0,4.951545821723209,78.30756063423544
preferred_qqq_entry__qqq_exit__no_lock,0.23366397252705595,0.22337138506012666,0.010292587466929293,0.7214855255879447,0.7008883445403709,-0.5818819094198948,-0.5885564451837068,101,0.6492400452204496,0.3507599547795503,21/14/7/5,3.260085062154447,76.76763001616357
