name,annualized_return,zero_cash_annualized_return,annualized_return_delta_vs_zero_cash,sharpe_ratio,zero_cash_sharpe_ratio,max_drawdown,zero_cash_max_drawdown,number_of_trades,exposure_percentage,average_cash_weight,dd_episodes_gt_20_30_40_50pct,gross_cash_interest_pct_initial_capital,tax_paid_pct_initial_capital_with_cash
new_candidate_no_daily_gate__qqq_hourly_200ma_entry_exit,0.3206995589821622,0.31381986907517967,0.006879689906982511,0.8526776839622753,0.8408833701654113,-0.5333872416462742,-0.537840841181782,61,0.7884740523832764,0.2115259476167236,18/13/5/4,1.0686574349877986,27.954808617952427
preferred_qqq_entry__qqq_exit__no_lock,0.28832675845477107,0.28174390461677334,0.006582853837997726,0.7926712342401027,0.7812227361213405,-0.5569264816514161,-0.5618746443045106,75,0.7947779404587604,0.20522205954123962,17/12/5/2,0.9382805429647935,18.663554376619317
qqq_entry__tqqq_exit__new_lock_200_300,0.2328050436638902,0.2248558257843183,0.007949217879571924,0.7159089566941143,0.7002149109439741,-0.48827249225778513,-0.4898008178797393,157,0.7310273304050756,0.26821689979285357,16/10/5/0,0.9903921632484682,9.067712896544657
tqqq_entry__tqqq_exit__new_lock_200_300,0.23097858020288564,0.22309300827358358,0.00788557192930206,0.7122109638897813,0.6966242083885068,-0.49495200134322126,-0.49644068968734956,161,0.7326948104766553,0.2666070939770648,16/10/5/0,0.9508443991430668,8.85812163847008
