name,strategy,segment,parameters,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,average_daily_turnover,number_of_trades,exposure_percentage,observations
sma_crossover,sma_crossover,full_sample,"{""long_window"": 200, ""short_window"": 50}",2.226233145585433,0.07472341536858917,0.17496722526905303,0.501038792392262,-0.46805305326947766,0.15964731956479256,0.502685546875,0.005475725446428571,280,0.636317661830357,4096
Buy & Hold SPY,benchmark,full_sample,{},8.277356372197447,0.14688339454445543,0.1711963558258512,0.88657181324299,-0.33717264821380655,0.4356325915597825,0.5537109375,0.000244140625,1,1.0,4096
Equal-Weight Buy & Hold,benchmark,full_sample,{},12.533780634456859,0.173839702069988,0.26398175599291107,0.74017004286032,-0.4883967736352638,0.3559394972576375,0.54638671875,0.00024414062499999995,1,0.9999999999999999,4096
