strategy,segment,parameters,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,average_daily_turnover,number_of_trades,exposure_percentage,observations
sma_trend,in_sample,"{""window"": 50}",0.17185160432600144,0.01802527497178219,0.13092734561637148,0.20220200546231845,-0.21221036454783715,0.0849405966112408,0.5221278497988378,0.07372756881026885,1109,0.6055303659237496,2237
sma_trend,out_of_sample,"{""window"": 50}",0.9883305595877065,0.09764560574264247,0.15439455366110705,0.6810253571616651,-0.2765221227597382,0.35312041137295846,0.50080688542227,0.07346499654191961,972,0.6097364174287249,1859
sma_trend,full_sample,"{""window"": 50}",1.3300283561832744,0.05341942926181931,0.14208080365413514,0.43763844203243457,-0.2765221227597384,0.19318320259039024,0.512451171875,0.0736083984375,2081,0.6074393136160712,4096
sma_trend,in_sample,"{""window"": 100}",0.7788980905692917,0.0670376312583103,0.12738955678646136,0.5733166071606008,-0.1723498201772432,0.3889625831310374,0.5105051408135897,0.047608404112650875,929,0.6270834663771632,2237
sma_trend,out_of_sample,"{""window"": 100}",0.7444362752626696,0.07834562691553004,0.14877301880595056,0.5816845226133861,-0.2544279112715798,0.30792858583782834,0.516406670252824,0.04902789518174133,834,0.6255667409513561,1859
sma_trend,full_sample,"{""window"": 100}",2.1031743591845715,0.07215507751863348,0.1375079932752868,0.5757020016980243,-0.2544279112715794,0.2835973347342945,0.51318359375,0.04825265066964285,1763,0.6263950892857142,4096
sma_trend,in_sample,"{""window"": 150}",0.9858832526116386,0.0803506698231482,0.1321644975037984,0.6511564336093107,-0.17805725203333567,0.45126311287846366,0.5055878408582923,0.03521936266683696,739,0.6371735104412796,2237
sma_trend,out_of_sample,"{""window"": 150}",0.920201269590192,0.09247011417050732,0.15033256049689797,0.6638177442704105,-0.21693717130536705,0.4262529727574612,0.5180204410973642,0.037808345500653186,711,0.6381695227849074,1859
sma_trend,full_sample,"{""window"": 150}",2.813295542922753,0.08583441646329693,0.14070191471522633,0.6559461952248241,-0.21693717130536594,0.3956648643789789,0.51123046875,0.036394391741071425,1450,0.6376255580357141,4096
sma_trend,in_sample,"{""window"": 200}",0.7744024009179213,0.06673350983821824,0.12998582828719998,0.5622942864413486,-0.18541392059129413,0.3599163947636822,0.4921770227983907,0.02966345232773485,686,0.6258062456095534,2237
sma_trend,out_of_sample,"{""window"": 200}",1.1381777919963452,0.10851013238943619,0.14902876260948855,0.7661210760970046,-0.18837823377117402,0.5760226657674534,0.5094136632598171,0.03438868823484208,695,0.6395527549373702,1859
sma_trend,full_sample,"{""window"": 200}",2.7939878077077074,0.08549536232316912,0.1389583991223024,0.6601721880861562,-0.18837823377117346,0.4538494740693977,0.5,0.03180803571428571,1381,0.632045200892857,4096
sma_trend,in_sample,"{""window"": 250}",0.5652733915535084,0.051769943885329406,0.12983875390690736,0.45396590417402855,-0.19451768526127422,0.2661451775749466,0.4827894501564595,0.028130787406603228,665,0.6118845392426079,2237
sma_trend,out_of_sample,"{""window"": 250}",1.1461953264724216,0.10907267450853086,0.1488238359638517,0.7704005360169423,-0.20988372789935417,0.5196814236158157,0.5083378160301237,0.029931606854683775,607,0.6335587489433642,1859
sma_trend,full_sample,"{""window"": 250}",2.3593824376037733,0.07740079141225231,0.1387885327771262,0.6068764242600027,-0.2098837278993534,0.3687793817411548,0.494384765625,0.028948102678571425,1272,0.6217215401785712,4096
tsmom,in_sample,"{""lookback"": 63}",0.7753038952884568,0.06679454829188236,0.13389838371799923,0.5501459999871784,-0.1928387069335269,0.3463752135348377,0.5225748770675012,0.049715818379206834,913,0.6298933520659046,2237
tsmom,out_of_sample,"{""lookback"": 63}",0.7754405804176168,0.08092392764267076,0.15461551742748397,0.5809418788925006,-0.32399510598827863,0.24976898152775923,0.5088757396449705,0.05129485898716667,800,0.621340198263275,1859
tsmom,full_sample,"{""lookback"": 63}",2.1519465782686003,0.07318423576254496,0.1436726208618337,0.5637645344581277,-0.3239951059882775,0.22588068279399517,0.516357421875,0.05043247767857142,1713,0.6260114397321427,4096
tsmom,in_sample,"{""lookback"": 126}",1.1337090582680545,0.08912409782182729,0.13729488848527172,0.690809439214687,-0.14863388046050696,0.5996216848116818,0.5113991953509164,0.031323839325627434,717,0.6466888051599717,2237
tsmom,out_of_sample,"{""lookback"": 126}",1.0697383338113449,0.10363247428948119,0.15682156541697262,0.7076324873022679,-0.23321009788490188,0.4443738724410973,0.521785906401291,0.03454238069622684,656,0.6279489741028201,1859
tsmom,full_sample,"{""lookback"": 126}",3.416219431097902,0.09568504245630938,0.14648105167733158,0.6974564786068409,-0.23321009788490188,0.41029545171553256,0.51611328125,0.03278459821428571,1373,0.6381835937499999,4096
tsmom,in_sample,"{""lookback"": 189}",0.4480075729945934,0.042583804963387095,0.13845933127059798,0.37074337132377944,-0.2663195873352028,0.1598973826502256,0.49441215914170766,0.024075611469442492,558,0.6315856695829872,2237
tsmom,out_of_sample,"{""lookback"": 189}",1.1744935784656647,0.11104377884834116,0.15597274716741366,0.7535279635808264,-0.25441251050722413,0.4364713772406567,0.5169445938676708,0.028625220932913236,560,0.6302927841389377,1859
tsmom,full_sample,"{""lookback"": 189}",2.148683169046408,0.07311584166083085,0.14668202902687488,0.5547840838797524,-0.2663195873352028,0.27454173533546256,0.504638671875,0.026140485491071425,1118,0.6309988839285713,4096
tsmom,in_sample,"{""lookback"": 252}",0.49100746441240006,0.04602641716977085,0.14768263884669672,0.3789200515693968,-0.249697538752353,0.18432867780654935,0.4841305319624497,0.02892905038635928,696,0.639344785746216,2237
tsmom,out_of_sample,"{""lookback"": 252}",1.1133055172932318,0.10675331580073544,0.1582770205738029,0.7204699906575908,-0.24109412622890103,0.4427868794255944,0.5099515868746638,0.024552370706216856,514,0.6197648505340811,1859
tsmom,full_sample,"{""lookback"": 252}",2.150954300868122,0.07316344677720088,0.15259304319461778,0.5394557689967233,-0.249697538752353,0.2930082817106319,0.495849609375,0.02694266183035714,1210,0.630458286830357,4096
sma_crossover,in_sample,"{""long_window"": 100, ""short_window"": 20}",1.0972379528470415,0.08701088931943435,0.137013691152092,0.6777169791275794,-0.18180906749597825,0.4785838820792538,0.5181046043808673,0.012037805734721244,337,0.6297656299891435,2237
sma_crossover,out_of_sample,"{""long_window"": 100, ""short_window"": 20}",0.8477740986768345,0.0867910547787838,0.16786449686142618,0.5802143354373783,-0.2884836230159449,0.3008526233532041,0.5094136632598171,0.012833320525628217,304,0.6279105509874738,1859
sma_crossover,full_sample,"{""long_window"": 100, ""short_window"": 20}",2.875221968032781,0.08691111027097764,0.15179471574443668,0.6253012015711544,-0.288483623015944,0.3012687838649829,0.51416015625,0.012398856026785712,641,0.6289236886160713,4096
sma_crossover,in_sample,"{""long_window"": 150, ""short_window"": 20}",0.9354380661017132,0.07722378916845707,0.14197016352888983,0.5952873877190132,-0.21361713765670443,0.36150558899707913,0.5037997317836388,0.00973880835302382,276,0.6425697681844306,2237
sma_crossover,out_of_sample,"{""long_window"": 150, ""short_window"": 20}",0.7647525969269833,0.08003954810337932,0.1725643881988527,0.5332775902763701,-0.3019248375307131,0.2650975943482535,0.5190962883270576,0.00964420195189426,230,0.6382847921309457,1859
sma_crossover,full_sample,"{""long_window"": 150, ""short_window"": 20}",2.4155693533443334,0.07850083130621077,0.1565982947197486,0.5614510466271305,-0.301924837530713,0.2600012372225765,0.5107421875,0.009695870535714284,506,0.6406249999999998,4096
sma_crossover,in_sample,"{""long_window"": 200, ""short_window"": 20}",0.8596705219428069,0.0723886308185735,0.14344745986830415,0.5593588551394945,-0.23359929217428943,0.30988377637961345,0.4917299955297273,0.007663324605658088,210,0.6305319624497092,2237
