name,strategy,segment,parameters,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,average_daily_turnover,number_of_trades,exposure_percentage,observations
tsmom,tsmom,full_sample,"{""lookback"": 252}",0.8352818469606957,0.06695515471074187,0.15123428074416176,0.5045529992440567,-0.2410941841291544,0.27771368667638174,0.45446844557390936,0.02338597446602529,618,0.5570278937496217,2361
Buy & Hold SPY,benchmark,full_sample,{},2.859712384322021,0.15506283470337645,0.18295172662642684,0.8799043246611782,-0.3371725827933011,0.45989158851161854,0.5552731893265566,0.00042354934349851756,1,1.0,2361
Equal-Weight Buy & Hold,benchmark,full_sample,{},2.9750883745530095,0.15869982284179285,0.2778863129640242,0.6704058373439974,-0.48839682450867594,0.3249403249119071,0.5463786531130876,0.0004235493434985175,1,0.9999999999999998,2361
